name,rarityRank,id
PXL#5349,1,5349
PXL#10,2,10
PXL#198,2,198
PXL#937,2,937
PXL#2504,2,2504
PXL#2813,2,2813
PXL#3021,2,3021
PXL#5076,2,5076
PXL#6591,2,6591
PXL#8070,2,8070
PXL#8383,2,8383
PXL#637,12,637
PXL#9316,13,9316
PXL#9733,14,9733
PXL#9294,15,9294
PXL#1854,16,1854
PXL#9183,17,9183
PXL#5014,18,5014
PXL#8374,19,8374
PXL#1372,20,1372
PXL#5451,21,5451
PXL#344,22,344
PXL#8126,23,8126
PXL#7578,24,7578
PXL#2694,25,2694
PXL#636,26,636
PXL#9772,27,9772
PXL#3816,28,3816
PXL#9432,29,9432
PXL#6162,30,6162
PXL#3180,31,3180
PXL#4261,32,4261
PXL#8583,33,8583
PXL#6851,34,6851
PXL#8525,35,8525
PXL#6227,36,6227
PXL#2676,37,2676
PXL#6173,38,6173
PXL#4860,39,4860
PXL#7404,40,7404
PXL#3607,41,3607
PXL#4408,42,4408
PXL#1711,43,1711
PXL#5170,44,5170
PXL#8117,45,8117
PXL#4818,46,4818
PXL#4114,47,4114
PXL#2146,48,2146
PXL#6014,49,6014
PXL#6654,50,6654